id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,PassageId,Subscription
F_ENG_L129_Q1290,5,Build the Sentence,Arrange the words to make a sentence.,,,,,The|bird|can|fly|.,rearrange,fly|can|The|bird|.,,Free
F_ENG_L130_Q1291,5,Build the Sentence,Arrange the words to make a sentence.,,,,,The|fish|can|swim|.,rearrange,swim|can|The|fish|.,,Free
F_ENG_L130_Q1292,6,Build the Sentence,Arrange the words to make a sentence.,,,,,The|baby|is|sleeping|.,rearrange,sleeping|The|is|baby|.,,Free
F_ENG_L130_Q1293,6,Build the Sentence,Arrange the words to make a sentence.,,,,,The|baby|is|small|.,rearrange,small|The|is|baby|.,,Free
F_ENG_L130_Q1294,6,Build the Sentence,Arrange the words to make a sentence.,,,,,The|boy|is|happy|.,rearrange,happy|The|boy|is|.,,Free
F_ENG_L130_Q1295,6,Build the Sentence,Arrange the words to make a sentence.,,,,,The|girl|is|kind|.,rearrange,kind|The|girl|is|.,,Free
F_ENG_L130_Q1296,6,Build the Sentence,Arrange the words to make a sentence.,,,,,We|play|with|a|ball|.,rearrange,ball|with|We|a|play|.,,Free
F_ENG_L130_Q1297,6,Build the Sentence,Arrange the words to make a sentence.,,,,,I|play|with|my|dog|.,rearrange,my|dog|I|with|play|.,,Free
F_ENG_L130_Q1298,6,Build the Sentence,Arrange the words to make a sentence.,,,,,The|cat|likes|milk|.,rearrange,milk|The|likes|cat|.,,Free
F_ENG_L130_Q1299,6,Build the Sentence,Arrange the words to make a sentence.,,,,,The|dog|likes|meat|.,rearrange,meat|The|likes|dog|.,,Free
F_ENG_L130_Q1300,6,Build the Sentence,Arrange the words to make a sentence.,,,,,Birds|can|fly|high|.,rearrange,high|fly|Birds|can|.,,Free
F_ENG_L131_Q1301,6,Build the Sentence,Arrange the words to make a sentence.,,,,,Fish|can|swim|fast|.,rearrange,fast|swim|Fish|can|.,,Free
F_ENG_L131_Q1302,7,Build the Sentence,Arrange the words to make a sentence.,,,,,I|eat|an|apple|.,rearrange,apple|an|I|eat|.,,Free
F_ENG_L131_Q1303,7,Build the Sentence,Arrange the words to make a sentence.,,,,,I|drink|some|water|.,rearrange,some|water|I|drink|.,,Free
F_ENG_L131_Q1304,7,Build the Sentence,Arrange the words to make a sentence.,,,,,I|see|the|moon|.,rearrange,the|moon|I|see|.,,Free
F_ENG_L131_Q1305,7,Build the Sentence,Arrange the words to make a sentence.,,,,,I|love|my|family|.,rearrange,my|family|I|love|.,,Free
F_ENG_L131_Q1306,7,Build the Sentence,Arrange the words to make a sentence.,,,,,I|help|my|mother|.,rearrange,my|mother|I|help|.,,Free
F_ENG_L131_Q1307,7,Build the Sentence,Arrange the words to make a sentence.,,,,,I|wash|my|hands|.,rearrange,my|hands|I|wash|.,,Free
F_ENG_L131_Q1308,7,Build the Sentence,Arrange the words to make a sentence.,,,,,I|brush|my|teeth|.,rearrange,my|teeth|I|brush|.,,Free
F_ENG_L131_Q1309,7,Build the Sentence,Arrange the words to make a sentence.,,,,,I|wear|my|shoes|.,rearrange,my|shoes|I|wear|.,,Free
F_ENG_L131_Q1310,7,Build the Sentence,Arrange the words to make a sentence.,,,,,We|go|to|school|.,rearrange,to|school|We|go|.,,Free
F_ENG_L132_Q1311,7,Build the Sentence,Arrange the words to make a sentence.,,,,,We|play|at|school|.,rearrange,at|school|We|play|.,,Free
F_ENG_L132_Q1312,8,Build the Sentence,Arrange the words to make a sentence.,,,,,We|read|a|book|.,rearrange,a|book|We|read|.,,Free
F_ENG_L132_Q1313,8,Build the Sentence,Arrange the words to make a sentence.,,,,,We|eat|our|lunch|.,rearrange,our|lunch|We|eat|.,,Free
F_ENG_L132_Q1314,8,Build the Sentence,Arrange the words to make a sentence.,,,,,We|love|our|teacher|.,rearrange,our|teacher|We|love|.,,Free
F_ENG_L132_Q1315,8,Build the Sentence,Arrange the words to make a sentence.,,,,,He|likes|to|run|.,rearrange,to|run|He|likes|.,,Free
F_ENG_L132_Q1316,8,Build the Sentence,Arrange the words to make a sentence.,,,,,He|likes|to|play|.,rearrange,to|play|He|likes|.,,Free
F_ENG_L132_Q1317,8,Build the Sentence,Arrange the words to make a sentence.,,,,,He|has|a|red|ball|.,rearrange,red|ball|a|He|has|.,,Free
F_ENG_L132_Q1318,8,Build the Sentence,Arrange the words to make a sentence.,,,,,He|has|a|blue|cap|.,rearrange,blue|cap|a|He|has|.,,Free
F_ENG_L132_Q1319,8,Build the Sentence,Arrange the words to make a sentence.,,,,,She|likes|to|sing|.,rearrange,to|sing|She|likes|.,,Free
F_ENG_L132_Q1320,8,Build the Sentence,Arrange the words to make a sentence.,,,,,She|likes|to|dance|.,rearrange,to|dance|She|likes|.,,Free
F_ENG_L133_Q1321,8,Build the Sentence,Arrange the words to make a sentence.,,,,,She|has|a|pink|dress|.,rearrange,pink|dress|a|She|has|.,,Free
F_ENG_L133_Q1322,9,Build the Sentence,Arrange the words to make a sentence.,,,,,She|has|a|small|bag|.,rearrange,small|bag|a|She|has|.,,Free
F_ENG_L133_Q1323,9,Build the Sentence,Arrange the words to make a sentence.,,,,,The|dog|runs|fast|.,rearrange,fast|runs|The|dog|.,,Free
F_ENG_L133_Q1324,9,Build the Sentence,Arrange the words to make a sentence.,,,,,The|cat|drinks|milk|.,rearrange,milk|drinks|The|cat|.,,Free
F_ENG_L133_Q1325,9,Build the Sentence,Arrange the words to make a sentence.,,,,,The|bird|eats|seeds|.,rearrange,seeds|eats|The|bird|.,,Free
F_ENG_L133_Q1326,9,Build the Sentence,Arrange the words to make a sentence.,,,,,The|cow|eats|grass|.,rearrange,grass|eats|The|cow|.,,Free
F_ENG_L133_Q1327,9,Build the Sentence,Arrange the words to make a sentence.,,,,,The|rabbit|eats|a|carrot|.,rearrange,a|carrot|The|eats|rabbit|.,,Free
F_ENG_L133_Q1328,9,Build the Sentence,Arrange the words to make a sentence.,,,,,The|monkey|likes|bananas|.,rearrange,bananas|likes|The|monkey|.,,Free
F_ENG_L133_Q1329,9,Build the Sentence,Arrange the words to make a sentence.,,,,,The|lion|is|strong|.,rearrange,strong|is|The|lion|.,,Free
F_ENG_L133_Q1330,9,Build the Sentence,Arrange the words to make a sentence.,,,,,The|elephant|is|big|.,rearrange,big|is|The|elephant|.,,Free
F_ENG_L134_Q1331,9,Build the Sentence,Arrange the words to make a sentence.,,,,,The|turtle|is|slow|.,rearrange,slow|is|The|turtle|.,,Free
F_ENG_L134_Q1332,10,Build the Sentence,Arrange the words to make a sentence.,,,,,The|frog|can|jump|.,rearrange,jump|can|The|frog|.,,Free
F_ENG_L134_Q1333,10,Build the Sentence,Arrange the words to make a sentence.,,,,,The|horse|can|run|.,rearrange,run|can|The|horse|.,,Free
F_ENG_L134_Q1334,10,Build the Sentence,Arrange the words to make a sentence.,,,,,The|duck|can|swim|.,rearrange,swim|can|The|duck|.,,Free
F_ENG_L134_Q1335,10,Build the Sentence,Arrange the words to make a sentence.,,,,,The|bird|sits|on|a|tree|.,rearrange,on|a|tree|The|sits|bird|.,,Free
F_ENG_L134_Q1336,10,Build the Sentence,Arrange the words to make a sentence.,,,,,The|cat|sits|on|the|mat|.,rearrange,on|the|mat|The|sits|cat|.,,Free
F_ENG_L134_Q1337,10,Build the Sentence,Arrange the words to make a sentence.,,,,,The|ball|is|under|the|chair|.,rearrange,under|the|chair|The|is|ball|.,,Free
F_ENG_L134_Q1338,10,Build the Sentence,Arrange the words to make a sentence.,,,,,The|book|is|on|the|desk|.,rearrange,on|the|desk|The|is|book|.,,Free
F_ENG_L134_Q1339,10,Build the Sentence,Arrange the words to make a sentence.,,,,,My|mother|cooks|good|food|.,rearrange,good|food|My|cooks|mother|.,,Free
F_ENG_L134_Q1340,10,Build the Sentence,Arrange the words to make a sentence.,,,,,My|father|reads|a|book|.,rearrange,a|book|My|reads|father|.,,Free
F_ENG_L135_Q1341,10,Build the Sentence,Arrange the words to make a sentence.,,,,,My|sister|plays|with|me|.,rearrange,with|me|My|plays|sister|.,,Free
F_ENG_L135_Q1342,11,Build the Sentence,Arrange the words to make a sentence.,,,,,My|brother|likes|to|play|football|.,rearrange,football|to|My|play|likes|brother|.,,Free
F_ENG_L135_Q1343,11,Build the Sentence,Arrange the words to make a sentence.,,,,,My|sister|likes|to|draw|pictures|.,rearrange,pictures|to|draw|My|likes|sister|.,,Free
F_ENG_L135_Q1344,11,Build the Sentence,Arrange the words to make a sentence.,,,,,I|like|to|play|with|friends|.,rearrange,with|I|friends|to|play|like|.,,Free
F_ENG_L135_Q1345,11,Build the Sentence,Arrange the words to make a sentence.,,,,,I|like|to|read|my|books|.,rearrange,my|books|to|I|read|like|.,,Free
F_ENG_L135_Q1346,11,Build the Sentence,Arrange the words to make a sentence.,,,,,We|like|to|play|in|the|park|.,rearrange,the|park|We|to|play|in|like|.,,Free
F_ENG_L135_Q1347,11,Build the Sentence,Arrange the words to make a sentence.,,,,,We|like|to|walk|in|the|park|.,rearrange,the|park|to|We|walk|like|in|.,,Free
F_ENG_L135_Q1348,11,Build the Sentence,Arrange the words to make a sentence.,,,,,The|boys|play|with|a|ball|.,rearrange,a|ball|The|with|play|boys|.,,Free
F_ENG_L135_Q1349,11,Build the Sentence,Arrange the words to make a sentence.,,,,,The|girls|play|with|a|doll|.,rearrange,a|doll|with|The|girls|play|.,,Free
F_ENG_L135_Q1350,11,Build the Sentence,Arrange the words to make a sentence.,,,,,The|baby|plays|with|a|toy|.,rearrange,a|toy|The|with|plays|baby|.,,Free
F_ENG_L136_Q1351,11,Build the Sentence,Arrange the words to make a sentence.,,,,,The|boy|has|a|green|kite|.,rearrange,green|kite|The|a|boy|has|.,,Free
F_ENG_L136_Q1352,12,Build the Sentence,Arrange the words to make a sentence.,,,,,The|girl|has|a|yellow|hat|.,rearrange,yellow|hat|The|a|girl|has|.,,Free
F_ENG_L136_Q1353,12,Build the Sentence,Arrange the words to make a sentence.,,,,,I|have|a|small|red|bag|.,rearrange,red|bag|I|a|small|have|.,,Free
F_ENG_L136_Q1354,12,Build the Sentence,Arrange the words to make a sentence.,,,,,She|has|a|beautiful|pink|dress|.,rearrange,pink|dress|She|a|beautiful|has|.,,Free
F_ENG_L136_Q1355,12,Build the Sentence,Arrange the words to make a sentence.,,,,,He|has|a|big|blue|ball|.,rearrange,blue|ball|He|a|big|has|.,,Free
F_ENG_L136_Q1356,12,Build the Sentence,Arrange the words to make a sentence.,,,,,The|little|boy|is|very|happy|.,rearrange,very|happy|The|boy|is|little|.,,Free
F_ENG_L136_Q1357,12,Build the Sentence,Arrange the words to make a sentence.,,,,,The|little|girl|is|very|kind|.,rearrange,very|kind|The|girl|is|little|.,,Free
F_ENG_L136_Q1358,12,Build the Sentence,Arrange the words to make a sentence.,,,,,My|new|shoes|are|very|nice|.,rearrange,very|nice|My|are|new|shoes|.,,Free
F_ENG_L136_Q1359,12,Build the Sentence,Arrange the words to make a sentence.,,,,,My|new|bag|is|very|pretty|.,rearrange,very|pretty|My|is|new|bag|.,,Free
F_ENG_L136_Q1360,12,Build the Sentence,Arrange the words to make a sentence.,,,,,The|red|apple|is|very|sweet|.,rearrange,very|sweet|The|is|red|apple|.,,Free
F_ENG_L137_Q1361,12,Build the Sentence,Arrange the words to make a sentence.,,,,,The|yellow|banana|is|very|ripe|.,rearrange,very|ripe|The|is|yellow|banana|.,,Free
F_ENG_L137_Q1362,13,Build the Sentence,Arrange the words to make a sentence.,,,,,I|eat|breakfast|in|the|morning|.,rearrange,the|morning|I|in|eat|breakfast|.,,Free
F_ENG_L137_Q1363,13,Build the Sentence,Arrange the words to make a sentence.,,,,,I|drink|milk|every|morning|at|home|.,rearrange,at|home|I|milk|every|morning|drink|.,,Free
F_ENG_L137_Q1364,13,Build the Sentence,Arrange the words to make a sentence.,,,,,We|eat|lunch|at|school|every|day|.,rearrange,every|school|We|day|at|eat|lunch|.,,Free
F_ENG_L137_Q1365,13,Build the Sentence,Arrange the words to make a sentence.,,,,,I|wash|my|hands|before|I|eat|.,rearrange,before|I|my|eat|hands|I|wash|.,,Free
F_ENG_L137_Q1366,13,Build the Sentence,Arrange the words to make a sentence.,,,,,I|brush|my|teeth|every|morning|.,rearrange,every|my|morning|I|brush|teeth|.,,Free
F_ENG_L137_Q1367,13,Build the Sentence,Arrange the words to make a sentence.,,,,,I|brush|my|teeth|before|bed|.,rearrange,before|my|bed|I|teeth|brush|.,,Free
F_ENG_L137_Q1368,13,Build the Sentence,Arrange the words to make a sentence.,,,,,We|go|to|school|in|the|morning|.,rearrange,in|the|morning|We|school|go|to|.,,Free
F_ENG_L137_Q1369,13,Build the Sentence,Arrange the words to make a sentence.,,,,,We|come|home|in|the|afternoon|.,rearrange,the|afternoon|We|come|home|in|.,,Free
F_ENG_L137_Q1370,13,Build the Sentence,Arrange the words to make a sentence.,,,,,I|sleep|at|night|in|my|bed|.,rearrange,in|my|bed|I|at|night|sleep|.,,Free
F_ENG_L138_Q1371,13,Build the Sentence,Arrange the words to make a sentence.,,,,,The|sun|shines|in|the|sky|.,rearrange,in|the|sky|The|shines|sun|.,,Free
F_ENG_L138_Q1372,14,Build the Sentence,Arrange the words to make a sentence.,,,,,The|moon|shines|at|night|.,rearrange,at|night|The|shines|moon|.,,Free
F_ENG_L138_Q1373,14,Build the Sentence,Arrange the words to make a sentence.,,,,,Stars|shine|in|the|night|sky|.,rearrange,the|sky|Stars|night|in|shine|.,,Free
F_ENG_L138_Q1374,14,Build the Sentence,Arrange the words to make a sentence.,,,,,Clouds|are|in|the|blue|sky|.,rearrange,the|blue|Clouds|sky|are|in|.,,Free
F_ENG_L138_Q1375,14,Build the Sentence,Arrange the words to make a sentence.,,,,,Rain|falls|from|the|dark|clouds|.,rearrange,the|clouds|Rain|dark|from|falls|.,,Free
F_ENG_L138_Q1376,14,Build the Sentence,Arrange the words to make a sentence.,,,,,The|wind|is|very|strong|today|.,rearrange,very|today|The|strong|wind|is|.,,Free
F_ENG_L138_Q1377,14,Build the Sentence,Arrange the words to make a sentence.,,,,,The|weather|is|nice|today|.,rearrange,today|nice|The|weather|is|.,,Free
F_ENG_L138_Q1378,14,Build the Sentence,Arrange the words to make a sentence.,,,,,The|sky|looks|very|beautiful|today|.,rearrange,beautiful|today|The|very|looks|sky|.,,Free
F_ENG_L138_Q1379,14,Build the Sentence,Arrange the words to make a sentence.,,,,,The|bird|is|sitting|on|the|tree|.,rearrange,on|the|tree|The|is|bird|sitting|.,,Free
F_ENG_L138_Q1380,14,Build the Sentence,Arrange the words to make a sentence.,,,,,The|cat|is|sleeping|on|the|mat|.,rearrange,on|the|mat|The|is|cat|sleeping|.,,Free
F_ENG_L139_Q1381,14,Build the Sentence,Arrange the words to make a sentence.,,,,,The|dog|is|sleeping|under|the|table|.,rearrange,under|the|table|The|is|dog|sleeping|.,,Free
F_ENG_L139_Q1382,15,Build the Sentence,Arrange the words to make a sentence.,,,,,The|ball|is|under|the|chair|.,rearrange,under|the|chair|The|is|ball|.,,Free
F_ENG_L139_Q1383,15,Build the Sentence,Arrange the words to make a sentence.,,,,,The|book|is|on|the|desk|.,rearrange,on|the|desk|The|is|book|.,,Free
F_ENG_L139_Q1384,15,Build the Sentence,Arrange the words to make a sentence.,,,,,My|pencil|is|in|my|bag|.,rearrange,in|my|bag|My|is|pencil|.,,Free
F_ENG_L139_Q1385,15,Build the Sentence,Arrange the words to make a sentence.,,,,,My|shoes|are|under|the|bed|.,rearrange,under|the|bed|My|are|shoes|.,,Free
F_ENG_L139_Q1386,15,Build the Sentence,Arrange the words to make a sentence.,,,,,The|fish|is|in|the|water|.,rearrange,in|the|water|The|is|fish|.,,Free
F_ENG_L139_Q1387,15,Build the Sentence,Arrange the words to make a sentence.,,,,,The|frog|is|near|the|pond|.,rearrange,near|the|pond|The|is|frog|.,,Free
F_ENG_L139_Q1388,15,Build the Sentence,Arrange the words to make a sentence.,,,,,The|rabbit|is|behind|the|tree|.,rearrange,behind|the|tree|The|is|rabbit|.,,Free
F_ENG_L139_Q1389,15,Build the Sentence,Arrange the words to make a sentence.,,,,,The|boy|is|running|in|the|park|.,rearrange,in|the|park|The|is|boy|running|.,,Free
F_ENG_L139_Q1390,15,Build the Sentence,Arrange the words to make a sentence.,,,,,The|girl|is|reading|a|book|.,rearrange,a|book|The|is|girl|reading|.,,Free
F_ENG_L140_Q1391,15,Build the Sentence,Arrange the words to make a sentence.,,,,,The|children|are|playing|in|the|park|.,rearrange,in|the|park|The|are|children|playing|.,,Free
F_ENG_L140_Q1392,16,Build the Sentence,Arrange the words to make a sentence.,,,,,I|am|happy|.,rearrange,happy|I|am|.,,Free
F_ENG_L140_Q1393,16,Build the Sentence,Arrange the words to make a sentence.,,,,,I|am|a|boy|.,rearrange,boy|a|I|am|.,,Free
F_ENG_L140_Q1394,16,Build the Sentence,Arrange the words to make a sentence.,,,,,I|have|a|cat|.,rearrange,cat|a|I|have|.,,Free
F_ENG_L140_Q1395,16,Build the Sentence,Arrange the words to make a sentence.,,,,,This|is|a|ball|.,rearrange,ball|a|This|is|.,,Free
F_ENG_L140_Q1396,16,Build the Sentence,Arrange the words to make a sentence.,,,,,It|is|red|.,rearrange,red|is|It|.,,Free
F_ENG_L140_Q1397,16,Build the Sentence,Arrange the words to make a sentence.,,,,,The|sun|is|hot|.,rearrange,hot|The|is|sun|.,,Free
F_ENG_L140_Q1398,16,Build the Sentence,Arrange the words to make a sentence.,,,,,I|like|milk|.,rearrange,milk|I|like|.,,Free
F_ENG_L140_Q1399,16,Build the Sentence,Arrange the words to make a sentence.,,,,,We|are|friends|.,rearrange,friends|We|are|.,,Free
F_ENG_L140_Q1400,16,Build the Sentence,Arrange the words to make a sentence.,,,,,He|is|tall|.,rearrange,tall|He|is|.,,Free
F_ENG_L141_Q1401,16,Build the Sentence,Arrange the words to make a sentence.,,,,,She|is|kind|.,rearrange,kind|She|is|.,,Free
F_ENG_L141_Q1402,17,Build the Sentence,Arrange the words to make a sentence.,,,,,I|see|a|dog|.,rearrange,dog|a|see|I|.,,Free
F_ENG_L141_Q1403,17,Build the Sentence,Arrange the words to make a sentence.,,,,,My|name|is|Rafi|.,rearrange,Rafi|is|My|name|.,,Free
F_ENG_L141_Q1404,17,Build the Sentence,Arrange the words to make a sentence.,,,,,This|is|my|book|.,rearrange,book|my|This|is|.,,Free
F_ENG_L141_Q1405,17,Build the Sentence,Arrange the words to make a sentence.,,,,,The|bird|can|fly|.,rearrange,fly|can|The|bird|.,,Free
F_ENG_L141_Q1406,17,Build the Sentence,Arrange the words to make a sentence.,,,,,I|can|run|fast|.,rearrange,fast|I|run|can|.,,Free
F_ENG_L141_Q1407,17,Build the Sentence,Arrange the words to make a sentence.,,,,,I|like|red|apples|.,rearrange,red|apples|I|like|.,,Free
F_ENG_L141_Q1408,17,Build the Sentence,Arrange the words to make a sentence.,,,,,The|sky|is|blue|.,rearrange,blue|is|The|sky|.,,Free
F_ENG_L141_Q1409,17,Build the Sentence,Arrange the words to make a sentence.,,,,,She|has|a|blue|bag|.,rearrange,blue|bag|a|She|has|.,,Free
F_ENG_L141_Q1410,17,Build the Sentence,Arrange the words to make a sentence.,,,,,He|has|a|new|bike|.,rearrange,new|bike|a|He|has|.,,Free
F_ENG_L142_Q1411,17,Build the Sentence,Arrange the words to make a sentence.,,,,,The|baby|is|sleeping|.,rearrange,sleeping|The|is|baby|.,,Free
F_ENG_L142_Q1412,18,Build the Sentence,Arrange the words to make a sentence.,,,,,We|play|in|the|park|.,rearrange,park|We|the|in|play|.,,Free
F_ENG_L142_Q1413,18,Build the Sentence,Arrange the words to make a sentence.,,,,,The|cat|is|under|the|table|.,rearrange,under|the|cat|table|is|The|.,,Free
F_ENG_L142_Q1414,18,Build the Sentence,Arrange the words to make a sentence.,,,,,My|mother|is|a|teacher|.,rearrange,teacher|is|My|a|mother|.,,Free
F_ENG_L142_Q1415,18,Build the Sentence,Arrange the words to make a sentence.,,,,,My|father|drives|a|car|.,rearrange,car|a|drives|My|father|.,,Free
F_ENG_L142_Q1416,18,Build the Sentence,Arrange the words to make a sentence.,,,,,The|dog|likes|to|run|.,rearrange,to|run|The|likes|dog|.,,Free
F_ENG_L142_Q1417,18,Build the Sentence,Arrange the words to make a sentence.,,,,,I|go|to|school|every|day|.,rearrange,every|day|I|school|to|go|.,,Free
F_ENG_L142_Q1418,18,Build the Sentence,Arrange the words to make a sentence.,,,,,She|likes|to|read|books|.,rearrange,books|to|She|read|likes|.,,Free
F_ENG_L142_Q1419,18,Build the Sentence,Arrange the words to make a sentence.,,,,,We|eat|rice|for|lunch|.,rearrange,for|lunch|We|rice|eat|.,,Free
F_ENG_L142_Q1420,18,Build the Sentence,Arrange the words to make a sentence.,,,,,Tom|has|two|little|dogs|.,rearrange,little|dogs|Tom|two|has|.,,Free
