id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,PassageId,Subscription
E_MAT_L007_Q063,7,Numbers,Which is the correct descending order? (Biggest to Smallest),18 > 27 > 36,27 > 36 > 18,36 > 27 > 18,36 > 18 > 27,36 > 27 > 18,MCQ,,,
E_MAT_L007_Q064,7,Numbers,Which is the correct descending order? (Biggest to Smallest),91 > 84 > 73,84 > 91 > 73,73 > 84 > 91,91 > 73 > 84,91 > 84 > 73,MCQ,,,
E_MAT_L007_Q065,7,Numbers,Which is the correct descending order? (Biggest to Smallest),52 > 64 > 39,64 > 52 > 39,39 > 52 > 64,64 > 39 > 52,64 > 52 > 39,MCQ,,,
E_MAT_L007_Q066,7,Numbers,Which is the correct descending order? (Biggest to Smallest),88 > 95 > 79,95 > 79 > 88,95 > 88 > 79,88 > 79 > 95,95 > 88 > 79,MCQ,,,
E_MAT_L007_Q067,7,Numbers,Which is the correct descending order? (Biggest to Smallest),47 > 31 > 56,31 > 47 > 56,56 > 47 > 31,56 > 31 > 47,56 > 47 > 31,MCQ,,,
E_MAT_L007_Q068,7,Numbers,Which is the correct descending order? (Biggest to Smallest),68 > 75 > 59,75 > 68 > 59,59 > 75 > 68,75 > 59 > 68,75 > 68 > 59,MCQ,,,
E_MAT_L007_Q069,7,Numbers,Which is the correct descending order? (Biggest to Smallest),24 > 19 > 41,41 > 19 > 24,41 > 24 > 19,24 > 41 > 19,41 > 24 > 19,MCQ,,,
E_MAT_L007_Q070,7,Numbers,Which is the correct descending order? (Biggest to Smallest),82 > 70 > 65,70 > 82 > 65,65 > 70 > 82,82 > 65 > 70,82 > 70 > 65,MCQ,,,
E_MAT_L008_Q071,8,Word Problems (Numbers),"Arif owns 14 toy cars, 9 toy trains, and 11 toy planes. Which toy does he have the least of?",Cars,Trains,Planes,,Trains,MCQ,,,
E_MAT_L008_Q072,8,Word Problems (Numbers),"Maya has 18 red balloons, 25 blue balloons, and 21 yellow balloons. Which color does she have the least of?",Red,Blue,Yellow,,Red,MCQ,,,
E_MAT_L008_Q073,8,Word Problems (Numbers),"Rafi collected 16 stamps, 12 coins, and 19 postcards. Which collection is the smallest?",Stamps,Coins,Postcards,,Coins,MCQ,,,
E_MAT_L008_Q074,8,Word Problems (Numbers),"Nila picked 27 mangoes, 31 oranges, and 24 guavas. Which fruit did she pick the least?",Oranges,Guavas,Mangoes,,Guavas,MCQ,,,
E_MAT_L008_Q075,8,Word Problems (Numbers),"A shop sold 45 pencils, 38 erasers, and 42 rulers. Which item was sold the least?",Rulers,Pencils,Erasers,,Erasers,MCQ,,,
E_MAT_L008_Q076,8,Word Problems (Numbers),"Tom has 13 marbles, 20 stickers, and 17 crayons. Which does Tom have the least?",Crayons,Marbles,Stickers,,Marbles,MCQ,,,
E_MAT_L008_Q077,8,Word Problems (Numbers),"Sara read 22 pages on Monday, 18 pages on Tuesday, and 25 pages on Wednesday. On which day did she read the fewest pages?",Wednesday,Tuesday,Monday,,Tuesday,MCQ,,,
E_MAT_L008_Q078,8,Word Problems (Numbers),"A farmer has 36 chickens, 29 ducks, and 41 goats. Which animal does the farmer have the least of?",Goats,Chickens,Ducks,,Ducks,MCQ,,,
E_MAT_L008_Q079,8,Word Problems (Numbers),"Lina baked 15 cookies, 12 cupcakes, and 19 muffins. Which did she bake the least?",Cookies,Muffins,Cupcakes,,Cupcakes,MCQ,,,
E_MAT_L008_Q080,8,Word Problems (Numbers),"Four baskets contain 26 apples, 33 apples, and 21 apples. Which basket has the fewest apples?",33 apples,21 apples,26 apples,,21 apples,MCQ,,,
E_MAT_L009_Q081,9,Word Problems (Numbers),"The zoo has 7 lions, 12 elephants, and 10 giraffes. Which animal group is the biggest?",Lion,Elephant,Giraffe,,Elephant,MCQ,,,
E_MAT_L009_Q082,9,Word Problems (Numbers),"A fruit shop has 18 apples, 24 oranges, and 21 bananas. Which fruit has the greatest quantity?",Bananas,Apples,Oranges,,Oranges,MCQ,,,
E_MAT_L009_Q083,9,Word Problems (Numbers),"Mina collected 15 shells, 19 pebbles, and 13 leaves. Which collection is the biggest?",Leaves,Pebbles,Shells,,Pebbles,MCQ,,,
E_MAT_L009_Q084,9,Word Problems (Numbers),"A classroom has 28 storybooks, 35 math books, and 31 science books. Which type of book is the most?",Science books,Math books,Storybooks,,Math books,MCQ,,,
E_MAT_L009_Q085,9,Word Problems (Numbers),"Rahim has 16 toy cars, 22 toy robots, and 20 toy trains. Which toy does he have the most of?",Toy cars,Toy trains,All are equal,,Toy robots,MCQ,,,
E_MAT_L009_Q086,9,Word Problems (Numbers),"A farmer has 32 chickens, 27 ducks, and 39 goats. Which animal group is the biggest?",Goats,Ducks,Chickens,,Goats,MCQ,,,
E_MAT_L009_Q087,9,Word Problems (Numbers),"Sara picked 25 roses, 18 tulips, and 30 sunflowers. Which flower did she pick the most?",Tulips,Sunflowers,Roses,,Sunflowers,MCQ,,,
E_MAT_L009_Q088,9,Word Problems (Numbers),"A library has 42 comics, 37 novels, and 45 magazines. Which section has the most books?",Novels,Comics,Magazines,,Magazines,MCQ,,,
E_MAT_L009_Q089,9,Word Problems (Numbers),"A bakery sold 29 cupcakes, 34 cookies, and 31 muffins. Which item was sold the most?",Cookies,Muffins,Cupcakes,,Cookies,MCQ,,,
E_MAT_L009_Q090,9,Word Problems (Numbers),"Four baskets contain 26 apples, 33 oranges, and 29 pears. Which fruit has the greatest quantity?",Pears,Apples,Oranges,,Oranges,MCQ,,,
E_MAT_L010_Q091,10,Word Problems (Numbers),"Rina has 12 apples, 18 bananas, and 15 oranges. Which fruit sits between the others in number?",Apple,Banana,Oranges,,Oranges,MCQ,,,
E_MAT_L010_Q092,10,Word Problems (Numbers),"Arif has 9 toy cars, 16 toy trains, and 12 toy planes. Which toy sits between the others in number?",Toy trains,Toy planes,Toy cars,,Toy planes,MCQ,,,
E_MAT_L010_Q093,10,Word Problems (Numbers),"Maya picked 21 flowers, 14 leaves, and 18 stones. Which item sits between the others in number?",Flowers,Leaves,Stones,,Stones,MCQ,,,
E_MAT_L010_Q094,10,Word Problems (Numbers),"A zoo has 8 lions, 15 tigers, and 11 bears. Which animal group sits between the others in number?",Bears,Lions,Tigers,,Bears,MCQ,,,
E_MAT_L010_Q095,10,Word Problems (Numbers),"Sara has 30 crayons, 24 pencils, and 27 erasers. Which school item sits between the others in number?",Pencils,Erasers,Crayons,,Erasers,MCQ,,,
E_MAT_L010_Q096,10,Word Problems (Numbers),"A farmer has 35 chickens, 28 ducks, and 31 goats. Which animal group sits between the others in number?",Goats,Ducks,Chickens,,Goats,MCQ,,,
E_MAT_L010_Q097,10,Word Problems (Numbers),"A library has 42 storybooks, 37 comics, and 40 science books. Which type of book sits between the others in number?",Science books,Storybooks,Comics,,Science books,MCQ,,,
E_MAT_L010_Q098,10,Word Problems (Numbers),"Lina baked 19 cookies, 25 cupcakes, and 22 muffins. Which snack sits between the others in number?",Cupcakes,Cookies,Muffins,,Muffins,MCQ,,,
E_MAT_L010_Q099,10,Word Problems (Numbers),"A shop sold 48 notebooks, 39 rulers, and 44 pens. Which item sits between the others in number?",Rulers,Pens,Notebooks,,Pens,MCQ,,,
E_MAT_L010_Q100,10,Word Problems (Numbers),"Tom collected 17 stamps, 11 coins, and 14 postcards. Which collection sits between the others in number?",Postcards,Stamps,Coins,,Postcards,MCQ,,,
E_MAT_L011_Q101,11,Mental Math (Numbers),What number comes after 48?,49,47,50,46,49,MCQ,,,
E_MAT_L011_Q102,11,Mental Math (Numbers),What number comes before 70?,69,71,68,72,69,MCQ,,,
E_MAT_L011_Q103,11,Mental Math (Numbers),Which number is closest to 50?,49,56,43,61,49,MCQ,,,
E_MAT_L011_Q104,11,Mental Math (Numbers),How many tens are in 80?,7,8,9,6,8,MCQ,,,
E_MAT_L011_Q105,11,Mental Math (Numbers),Which number is an even number?,35,42,57,69,42,MCQ,,,
E_MAT_L011_Q106,11,Mental Math (Numbers),Which number is an odd number?,24,38,51,66,51,MCQ,,,
E_MAT_L011_Q107,11,Mental Math (Numbers),What is 10 more than 35?,40,45,55,50,45,MCQ,,,
E_MAT_L011_Q108,11,Mental Math (Numbers),What is 10 less than 64?,44,74,54,64,54,MCQ,,,
E_MAT_L011_Q109,11,Mental Math (Numbers),Which number is between 39 and 41?,38,40,42,43,40,MCQ,,,
E_MAT_L011_Q110,11,Mental Math (Numbers),Which number comes just before 100?,98,100,97,99,99,MCQ,,,
E_MAT_L012_Q111,12,Mental Math (Numbers),What number comes after 63?,64,62,65,61,64,MCQ,,,
E_MAT_L012_Q112,12,Mental Math (Numbers),What number comes before 25?,26,23,24,22,24,MCQ,,,
E_MAT_L012_Q113,12,Mental Math (Numbers),Which number is closest to 80?,78,81,85,74,81,MCQ,,,
E_MAT_L012_Q114,12,Mental Math (Numbers),How many tens are in 50?,6,4,5,7,5,MCQ,,,
E_MAT_L012_Q115,12,Mental Math (Numbers),Which number is an even number?,73,58,41,65,58,MCQ,,,
E_MAT_L012_Q116,12,Mental Math (Numbers),Which number is an odd number?,28,44,39,62,39,MCQ,,,
E_MAT_L012_Q117,12,Mental Math (Numbers),What is 10 more than 47?,67,57,56,37,57,MCQ,,,
E_MAT_L012_Q118,12,Mental Math (Numbers),What is 10 less than 91?,71,81,90,101,81,MCQ,,,
E_MAT_L012_Q119,12,Mental Math (Numbers),Which number is between 54 and 56?,53,57,55,58,55,MCQ,,,
E_MAT_L012_Q120,12,Mental Math (Numbers),What number comes just after 89?,90,88,91,87,90,MCQ,,,
E_MAT_L013_Q121,13,Mental Math (Numbers),What number comes after 26?,28,27,25,29,27,MCQ,,,
E_MAT_L013_Q122,13,Mental Math (Numbers),What number comes before 51?,49,50,52,48,50,MCQ,,,
E_MAT_L013_Q123,13,Mental Math (Numbers),Which number is closest to 30?,27,34,31,25,31,MCQ,,,
E_MAT_L013_Q124,13,Mental Math (Numbers),How many tens are in 90?,8,10,9,7,9,MCQ,,,
E_MAT_L013_Q125,13,Mental Math (Numbers),Which number is an even number?,55,68,71,83,68,MCQ,,,
E_MAT_L013_Q126,13,Mental Math (Numbers),Which number is an odd number?,40,72,95,18,95,MCQ,,,
E_MAT_L013_Q127,13,Mental Math (Numbers),What is 10 more than 62?,82,72,52,63,72,MCQ,,,
E_MAT_L013_Q128,13,Mental Math (Numbers),What is 10 less than 43?,53,23,33,34,33,MCQ,,,
E_MAT_L013_Q129,13,Mental Math (Numbers),Which number is between 67 and 69?,70,66,68,71,68,MCQ,,,
E_MAT_L013_Q130,13,Mental Math (Numbers),What number comes just before 40?,38,41,40,39,39,MCQ,,,
E_MAT_L014_Q131,14,Mental Math (Numbers),What number comes after 37? Answer: _____,,,,,38,FillBlank,,,
E_MAT_L014_Q132,14,Mental Math (Numbers),What number comes before 64? Answer: _____,,,,,63,FillBlank,,,
E_MAT_L014_Q133,14,Mental Math (Numbers),What is 10 more than 28? Answer: _____,,,,,38,FillBlank,,,
E_MAT_L014_Q134,14,Mental Math (Numbers),What is 10 less than 75? Answer: _____,,,,,65,FillBlank,,,
E_MAT_L014_Q135,14,Mental Math (Numbers),How many tens are in 40? Answer: _____,,,,,4,FillBlank,,,
E_MAT_L014_Q136,14,Mental Math (Numbers),Which number is between 52 and 54? Answer: _____,,,,,53,FillBlank,,,
E_MAT_L014_Q137,14,Mental Math (Numbers),What number comes just before 90? Answer: _____,,,,,89,FillBlank,,,
E_MAT_L014_Q138,14,Mental Math (Numbers),What number comes just after 81? Answer: _____,,,,,82,FillBlank,,,
E_MAT_L014_Q139,14,Mental Math (Numbers),What is 10 more than 66? Answer: _____,,,,,76,FillBlank,,,
E_MAT_L014_Q140,14,Mental Math (Numbers),What is 10 less than 33? Answer: _____,,,,,23,FillBlank,,,
E_MAT_L015_Q141,15,Mental Math (Numbers),What number comes after 58? Answer: _____,,,,,59,FillBlank,,,
E_MAT_L015_Q142,15,Mental Math (Numbers),What number comes before 32? Answer: _____,,,,,31,FillBlank,,,
E_MAT_L015_Q143,15,Mental Math (Numbers),What is 10 more than 41? Answer: _____,,,,,51,FillBlank,,,
E_MAT_L015_Q144,15,Mental Math (Numbers),What is 10 less than 88? Answer: _____,,,,,78,FillBlank,,,
E_MAT_L015_Q145,15,Mental Math (Numbers),How many tens are in 70? Answer: _____,,,,,7,FillBlank,,,
E_MAT_L015_Q146,15,Mental Math (Numbers),Which number is between 46 and 48? Answer: _____,,,,,47,FillBlank,,,
E_MAT_L015_Q147,15,Mental Math (Numbers),What number comes just before 100? Answer: _____,,,,,99,FillBlank,,,
E_MAT_L015_Q148,15,Mental Math (Numbers),What number comes just after 14? Answer: _____,,,,,15,FillBlank,,,
E_MAT_L015_Q149,15,Mental Math (Numbers),What is 10 more than 53? Answer: _____,,,,,63,FillBlank,,,
E_MAT_L015_Q150,15,Mental Math (Numbers),What is 10 less than 27? Answer: _____,,,,,17,FillBlank,,,
E_MAT_L016_Q151,16,Mental Math (Numbers),What is 2 more than 18? Answer: _____,,,,,20,FillBlank,,,
E_MAT_L016_Q152,16,Mental Math (Numbers),What is 3 less than 27? Answer: _____,,,,,24,FillBlank,,,
E_MAT_L016_Q153,16,Mental Math (Numbers),What is 4 more than 35? Answer: _____,,,,,39,FillBlank,,,
E_MAT_L016_Q154,16,Mental Math (Numbers),What is 5 less than 42? Answer: _____,,,,,37,FillBlank,,,
E_MAT_L016_Q155,16,Mental Math (Numbers),What is 2 less than 61? Answer: _____,,,,,59,FillBlank,,,
E_MAT_L016_Q156,16,Mental Math (Numbers),What is 3 more than 54? Answer: _____,,,,,57,FillBlank,,,
E_MAT_L016_Q157,16,Mental Math (Numbers),What is 5 more than 70? Answer: _____,,,,,75,FillBlank,,,
E_MAT_L016_Q158,16,Mental Math (Numbers),What is 4 less than 29? Answer: _____,,,,,25,FillBlank,,,
E_MAT_L016_Q159,16,Mental Math (Numbers),What is 3 less than 96? Answer: _____,,,,,93,FillBlank,,,
E_MAT_L016_Q160,16,Mental Math (Numbers),What is 2 more than 47? Answer: _____,,,,,49,FillBlank,,,
E_MAT_L017_Q161,17,Mental Math (Numbers),What is 4 more than 22? Answer: _____,,,,,26,FillBlank,,,
E_MAT_L017_Q162,17,Mental Math (Numbers),What is 2 less than 49? Answer: _____,,,,,47,FillBlank,,,
E_MAT_L017_Q163,17,Mental Math (Numbers),What is 5 more than 31? Answer: _____,,,,,36,FillBlank,,,
E_MAT_L017_Q164,17,Mental Math (Numbers),What is 3 less than 58? Answer: _____,,,,,55,FillBlank,,,
E_MAT_L017_Q165,17,Mental Math (Numbers),What is 2 more than 64? Answer: _____,,,,,66,FillBlank,,,
E_MAT_L017_Q166,17,Mental Math (Numbers),What is 4 less than 73? Answer: _____,,,,,69,FillBlank,,,
E_MAT_L017_Q167,17,Mental Math (Numbers),What is 5 less than 86? Answer: _____,,,,,81,FillBlank,,,
E_MAT_L017_Q168,17,Mental Math (Numbers),What is 3 more than 45? Answer: _____,,,,,48,FillBlank,,,
E_MAT_L017_Q169,17,Mental Math (Numbers),What is 2 less than 91? Answer: _____,,,,,89,FillBlank,,,
E_MAT_L017_Q170,17,Mental Math (Numbers),What is 5 more than 52? Answer: _____,,,,,57,FillBlank,,,
E_MAT_L018_Q171,18,Even & Odd Numbers,True or False: 24 is an even number.,TRUE,FALSE,,,TRUE,MCQ,,,
E_MAT_L018_Q172,18,Even & Odd Numbers,True or False: 37 is an odd number.,TRUE,FALSE,,,TRUE,MCQ,,,
E_MAT_L018_Q173,18,Even & Odd Numbers,True or False: 58 is an odd number.,TRUE,FALSE,,,FALSE,MCQ,,,
E_MAT_L018_Q174,18,Even & Odd Numbers,True or False: 91 is an even number.,TRUE,FALSE,,,FALSE,MCQ,,,
E_MAT_L018_Q175,18,Even & Odd Numbers,True or False: 46 is divisible by 2.,TRUE,FALSE,,,TRUE,MCQ,,,
E_MAT_L018_Q176,18,Even & Odd Numbers,True or False: 75 is an even number.,TRUE,FALSE,,,FALSE,MCQ,,,
E_MAT_L018_Q177,18,Even & Odd Numbers,True or False: 100 is an even number.,TRUE,FALSE,,,TRUE,MCQ,,,
E_MAT_L018_Q178,18,Even & Odd Numbers,True or False: 1 is an even number.,TRUE,FALSE,,,FALSE,MCQ,,,
E_MAT_L018_Q179,18,Even & Odd Numbers,True or False: 88 is an odd number.,TRUE,FALSE,,,FALSE,MCQ,,,
E_MAT_L018_Q180,18,Even & Odd Numbers,True or False: 63 is an odd number.,TRUE,FALSE,,,TRUE,MCQ,,,
E_MAT_L019_Q181,19,Even & Odd Numbers,Which number is even?,23,45,68,91,68,MCQ,,,
E_MAT_L019_Q182,19,Even & Odd Numbers,Which number is odd?,20,42,57,88,57,MCQ,,,
E_MAT_L019_Q183,19,Even & Odd Numbers,Which number is even?,17,39,64,75,64,MCQ,,,
E_MAT_L019_Q184,19,Even & Odd Numbers,Which number is odd?,16,28,54,81,81,MCQ,,,
E_MAT_L019_Q185,19,Even & Odd Numbers,Which number is even?,31,47,90,53,90,MCQ,,,
E_MAT_L019_Q186,19,Even & Odd Numbers,Which number is odd?,24,62,79,100,79,MCQ,,,
E_MAT_L019_Q187,19,Even & Odd Numbers,Which number is even?,15,33,48,71,48,MCQ,,,
E_MAT_L019_Q188,19,Even & Odd Numbers,Which number is odd?,44,56,89,92,89,MCQ,,,
E_MAT_L019_Q189,19,Even & Odd Numbers,Which number is even?,19,27,84,65,84,MCQ,,,
E_MAT_L019_Q190,19,Even & Odd Numbers,Which number is odd?,18,72,95,40,95,MCQ,,,
E_MAT_L020_Q191,20,Even & Odd Numbers,Is 48 an even or odd number?,Even,Odd,,,Even,MCQ,,,
E_MAT_L020_Q192,20,Even & Odd Numbers,Is 67 an even or odd number?,Even,Odd,,,Odd,MCQ,,,
E_MAT_L020_Q193,20,Even & Odd Numbers,What is the next even number after 34? Answer: _____,,,,,36,FillBlank,,,
E_MAT_L020_Q194,20,Even & Odd Numbers,What is the next odd number after 51? Answer: _____,,,,,53,FillBlank,,,
E_MAT_L020_Q195,20,Even & Odd Numbers,What is the previous even number before 82? Answer: _____,,,,,80,FillBlank,,,
E_MAT_L020_Q196,20,Even & Odd Numbers,What is the previous odd number before 39? Answer: _____,,,,,37,FillBlank,,,
E_MAT_L020_Q197,20,Even & Odd Numbers,Write the smallest even number greater than 57. Answer: _____,,,,,58,FillBlank,,,
E_MAT_L020_Q198,20,Even & Odd Numbers,Write the largest odd number less than 70. Answer: _____,,,,,69,FillBlank,,,
E_MAT_L020_Q199,20,Even & Odd Numbers,Is 100 an even or odd number?,Even,Odd,,,Even,MCQ,,,
E_MAT_L020_Q200,20,Even & Odd Numbers,Is 1 an even or odd number?,Even,Odd,,,Odd,MCQ,,,
E_MAT_L021_Q201,21,Even & Odd Numbers,An even number is divisible by _____.,,,,,2,FillBlank,,,
E_MAT_L021_Q202,21,Even & Odd Numbers,An odd number leaves a remainder of _____ when divided by 2.,,,,,1,FillBlank,,,
E_MAT_L021_Q203,21,Even & Odd Numbers,The last digit of an even number can be 0 • 2 • 4 • 6 • _____,,,,,8,FillBlank,,,
E_MAT_L021_Q204,21,Even & Odd Numbers,The last digit of an odd number can be 1 • 3 • 5 • 7 • _____,,,,,9,FillBlank,,,
E_MAT_L021_Q205,21,Even & Odd Numbers,Even + Even =,Even,Odd,,,Even,MCQ,,,
E_MAT_L021_Q206,21,Even & Odd Numbers,Odd + Odd =,Even,Odd,,,Even,MCQ,,,
E_MAT_L021_Q207,21,Even & Odd Numbers,Even + Odd =,Even,Odd,,,Odd,MCQ,,,
E_MAT_L021_Q208,21,Even & Odd Numbers,Odd + Even =,Even,Odd,,,Odd,MCQ,,,
E_MAT_L021_Q209,21,Even & Odd Numbers,Even × Odd =,Even,Odd,,,Even,MCQ,,,
E_MAT_L021_Q210,21,Even & Odd Numbers,Odd × Odd =,Even,Odd,,,Odd,MCQ,,,
E_MAT_L022_Q211,22,Even & Odd Numbers,Which number is an even number?,41,56,73,95,56,MCQ,,,
E_MAT_L022_Q212,22,Even & Odd Numbers,True or False: 27 is an odd number.,TRUE,FALSE,,,TRUE,MCQ,,,
E_MAT_L022_Q213,22,Even & Odd Numbers,What is the next even number after 18? Answer: _____,,,,,20,FillBlank,,,
E_MAT_L022_Q214,22,Even & Odd Numbers,Which number is an odd number?,64,82,99,46,99,MCQ,,,
E_MAT_L022_Q215,22,Even & Odd Numbers,True or False: Every even number is divisible by 2.,TRUE,FALSE,,,TRUE,MCQ,,,
E_MAT_L022_Q216,22,Even & Odd Numbers,What is the smallest odd number greater than 48? Answer: _____,,,,,49,FillBlank,,,
E_MAT_L022_Q217,22,Even & Odd Numbers,Which pair contains two even numbers?,21 and 42,36 and 58,17 and 39,45 and 60,36 and 58,MCQ,,,
